                      radius                  box booles               hollow booles          hollow monte carlo              MC uncertainty
      0.1000000000000000E+01      0.1607237320203355E+01      0.1607207821156485E+01      0.1605013745955620E+01      0.3965290713840944E-02
      0.2000000000000000E+01      0.1607237320203355E+01      0.1607001315295778E+01      0.1606037835884347E+01      0.3949148336213847E-02
      0.3000000000000000E+01      0.1607237320203355E+01      0.1606440733122912E+01      0.1602900680331961E+01      0.3966373667989720E-02
      0.4000000000000000E+01      0.1607237320203355E+01      0.1605348879670679E+01      0.1608839269832882E+01      0.3971522104560154E-02
      0.5000000000000000E+01      0.1607237320203355E+01      0.1603548371518364E+01      0.1598856481444788E+01      0.3975623520698469E-02
      0.6000000000000000E+01      0.1607237320203355E+01      0.1600861573505948E+01      0.1600508253984618E+01      0.4062833170836261E-02
      0.7000000000000000E+01      0.1607237320203355E+01      0.1597110535045054E+01      0.1598591778364595E+01      0.4134306015231390E-02
      0.8000000000000000E+01      0.1607237320203355E+01      0.1592116925923148E+01      0.1595212393402305E+01      0.4262598851017052E-02
      0.9000000000000000E+01      0.1607237320203355E+01      0.1585701971495696E+01      0.1589597357748179E+01      0.4321342318694245E-02
      0.1000000000000000E+02      0.1607237320203355E+01      0.1577686387158764E+01      0.1580194105691589E+01      0.4450323457531275E-02
      0.1100000000000000E+02      0.1607237320203355E+01      0.1567890311991967E+01      0.1572486325879234E+01      0.4637108693768885E-02
      0.1200000000000000E+02      0.1607237320203355E+01      0.1556133241458639E+01      0.1553156260938468E+01      0.4776614826982865E-02
      0.1300000000000000E+02      0.1607237320203355E+01      0.1542233959046666E+01      0.1543273810818169E+01      0.4977995598450051E-02
      0.1400000000000000E+02      0.1607237320203355E+01      0.1526010466729496E+01      0.1527006269429252E+01      0.5168740265961283E-02
      0.1500000000000000E+02      0.1607237320203355E+01      0.1507279914122461E+01      0.1506797903349283E+01      0.5473605498892490E-02
      0.1600000000000000E+02      0.1607237320203355E+01      0.1485858526204645E+01      0.1491440259031904E+01      0.5669496423091212E-02
      0.1700000000000000E+02      0.1607237320203355E+01      0.1461561529471082E+01      0.1457409694646052E+01      0.5879422793962075E-02
      0.1800000000000000E+02      0.1607237320203355E+01      0.1434203076374049E+01      0.1435391586192159E+01      0.6229759034659489E-02
      0.1900000000000000E+02      0.1607237320203355E+01      0.1403596167905580E+01      0.1400567890630594E+01      0.6449046216566947E-02
