                         x_0                      booles                   large x_0                 monte carlo              MC uncertainty
      0.5000000000000000E+01      0.1067499990006680E+02      0.9921347101832437E+01      0.1073628707834667E+02      0.1511415029092467E+00
      0.1000000000000000E+02      0.8695153090424823E+01      0.8681178714103382E+01      0.8680819677242493E+01      0.9122771079536664E-01
      0.1500000000000000E+02      0.7279913072604137E+01      0.7563799275654432E+01      0.7266219164875677E+01      0.6327353462298785E-01
      0.2000000000000000E+02      0.6197892942153260E+01      0.6585721783112911E+01      0.6221235171683604E+01      0.4442036325205371E-01
      0.2500000000000000E+02      0.5341603639978564E+01      0.5743937795797726E+01      0.5345343389791419E+01      0.3311607767139103E-01
      0.3000000000000000E+02      0.4648649629347543E+01      0.5025945571323010E+01      0.4654154634600697E+01      0.2467662145055051E-01
      0.3500000000000000E+02      0.4078701905599454E+01      0.4415859692723108E+01      0.4058237792801251E+01      0.1979511643369477E-01
      0.4000000000000000E+02      0.3603950902555138E+01      0.3897672075719886E+01      0.3594206076638511E+01      0.1565140841413863E-01
      0.4500000000000000E+02      0.3204369051032860E+01      0.3456758944982342E+01      0.3226289647857709E+01      0.1304202983969464E-01
      0.5000000000000000E+02      0.2865075703182952E+01      0.3080418253391523E+01      0.2842264506312302E+01      0.1027134345779644E-01
      0.5500000000000000E+02      0.2574750649479162E+01      0.2757919591484107E+01      0.2576573932254246E+01      0.8853337024981679E-02
      0.6000000000000000E+02      0.2324621641535644E+01      0.2480336775458109E+01      0.2322383170152681E+01      0.7320145593407299E-02
      0.6500000000000000E+02      0.2107788667164478E+01      0.2240304184284744E+01      0.2096882710175222E+01      0.6166339530334265E-02
      0.7000000000000000E+02      0.1918756738475329E+01      0.2031765230960366E+01      0.1916041619514127E+01      0.5259741128278070E-02
      0.7500000000000000E+02      0.1753103519593380E+01      0.1849742680002658E+01      0.1753870101709452E+01      0.4624791443845070E-02
      0.8000000000000000E+02      0.1607237320203355E+01      0.1690140988586499E+01      0.1600891609815366E+01      0.3905691473930445E-02
      0.8500000000000000E+02      0.1478217473712581E+01      0.1549581596026567E+01      0.1477623447131558E+01      0.3426368522803690E-02
      0.9000000000000000E+02      0.1363618865406489E+01      0.1425268147091600E+01      0.1361303679654385E+01      0.3010581845211721E-02
      0.9500000000000000E+02      0.1261428364577806E+01      0.1314877326748877E+01      0.1255336719300401E+01      0.2629072083832838E-02
      0.1000000000000000E+03      0.1169964721490109E+01      0.1216470902613213E+01      0.1170363744377519E+01      0.2334345570227687E-02
      0.1050000000000000E+03      0.1087815983379056E+01      0.1128425002719494E+01      0.1087887750357726E+01      0.2078301384996811E-02
      0.1100000000000000E+03      0.1013790160094520E+01      0.1049373251155354E+01      0.1011150996217396E+01      0.1871839932080504E-02
      0.1150000000000000E+03      0.9468760232638495E+00      0.9781609818708037E+00      0.9478965492939216E+00      0.1661238738388188E-02
      0.1200000000000000E+03      0.8862117322868585E+00      0.9138082856950929E+00      0.8874008387686545E+00      0.1507368446105960E-02
      0.1250000000000000E+03      0.8310595585636453E+00      0.8554800972464699E+00      0.8324403948069057E+00      0.1356468695657047E-02
      0.1300000000000000E+03      0.7807853985481471E+00      0.8024618979423294E+00      0.7813851488244622E+00      0.1220723889021858E-02
      0.1350000000000000E+03      0.7348420742568152E+00      0.7541399080366216E+00      0.7345362293488763E+00      0.1119922416655519E-02
      0.1400000000000000E+03      0.6927556488780562E+00      0.7099848762463732E+00      0.6939096726687967E+00      0.1031500214938745E-02
      0.1450000000000000E+03      0.6541141571650393E+00      0.6695387614733547E+00      0.6533413321977163E+00      0.9368754792157539E-03
      0.1500000000000000E+03      0.6185582807264112E+00      0.6324037473850146E+00      0.6193182911408275E+00      0.8580808532491065E-03
      0.1550000000000000E+03      0.5857735980421919E+00      0.5982331455294422E+00      0.5860378485518376E+00      0.7887690178721475E-03
      0.1600000000000000E+03      0.5554841158368546E+00      0.5667238329681733E+00      0.5548449385775559E+00      0.7248013457521783E-03
      0.1650000000000000E+03      0.5274468480102584E+00      0.5376099414786050E+00      0.5273928277073269E+00      0.6733057891640442E-03
      0.1700000000000000E+03      0.5014472548222026E+00      0.5106575714178460E+00      0.5016737551571240E+00      0.6229736114493415E-03
      0.1750000000000000E+03      0.4772953915319910E+00      0.4856603476421473E+00      0.4754359082214268E+00      0.5685346562666428E-03
      0.1800000000000000E+03      0.4548226445152982E+00      0.4624356700006644E+00      0.4542757751989118E+00      0.5363320725466543E-03
      0.1850000000000000E+03      0.4338789557528450E+00      0.4408215388581059E+00      0.4338905734147759E+00      0.5014211315588982E-03
      0.1900000000000000E+03      0.4143304548258494E+00      0.4206738583926749E+00      0.4140349662018695E+00      0.4592471455787317E-03
      0.1950000000000000E+03      0.3960574321676757E+00      0.4018641382646490E+00      0.3960756511332629E+00      0.4311005929538401E-03
      0.2000000000000000E+03      0.3789525990822830E+00      0.3842775285921014E+00      0.3786396391090605E+00      0.4013635744734794E-03
